"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
82;"AM5:14";"VoidSwitch_1.25u_SMD";1;"RCtrl";;;
83;"AM5:3";"VoidSwitch_1.25u_SMD";1;"Menu";;;
84;"AM2:11";"VoidSwitch_1u_SMD";1;"P";;;
85;"AM4:13";"VoidSwitch_1u_SMD";1;"Period";;;
86;"AM5:4";"VoidSwitch_1.25u_SMD";1;"Fn";;;
87;"AM4:14";"VoidSwitch_1.25u_SMD";1;"RAlt";;;
88;"AM4:8";"VoidSwitch_6.25u_SMD";1;"Space";;;
89;"AM4:7";"VoidSwitch_1.25u_SMD";1;"LAlt";;;
90;"AM4:6";"VoidSwitch_1.25u_SMD";1;"Super";;;
91;"AM4:5";"VoidSwitch_1.25u_SMD";1;"LCtrl";;;
92;"AM4:0";"VoidSwitch_2.25u_SMD";1;"LShift";;;
93;"AM0:0";"VoidSwitch_1.75u_SMD";1;"CAPS";;;
94;"AM4:4";"VoidSwitch_1u_SMD";1;"V";;;
